CustomerID,Age,Gender,Income,SubscriptionLength,AvgMonthlySpend,ProductViews,ComplaintsFiled,DiscountUsed,SatisfactionScore,MonthlySales,Churn
72,59,Male,118875,22,219.86,12,0,0,6,35.44,0
73,21,Male,111357,52,136.6,24,0,0,3,49.45,0
74,46,Male,46660,30,206.17,12,2,1,6,84.79,1
75,35,Male,25084,20,232.82,13,0,1,9,135.0,0
76,43,Male,102197,21,175.46,24,0,1,9,99.6,0
77,61,Female,33507,44,253.11,16,1,1,10,138.25,0
78,51,Male,92595,32,176.63,24,4,0,3,86.23,1
79,27,Female,103807,51,157.0,21,1,1,3,61.09,0
80,53,Female,65539,46,227.84,19,2,0,4,96.56,0
81,31,Male,27491,49,301.66,16,1,0,7,157.37,0
82,48,Female,70192,56,204.27,14,4,1,3,103.61,1
83,65,Female,100395,21,231.75,20,4,1,10,98.81,1
84,32,Female,83888,35,174.56,14,3,1,8,97.23,0
85,25,Female,93609,58,137.92,24,0,0,8,89.69,0
86,31,Male,29077,32,208.31,15,1,0,6,104.3,0
87,40,Female,40953,30,216.22,18,0,1,4,90.72,0
88,57,Male,96919,55,182.1,21,0,0,5,67.88,0
89,38,Female,87889,39,231.55,14,1,0,2,81.52,0
90,33,Female,43821,49,167.3,17,0,0,6,59.3,0
91,62,Male,57567,12,154.9,12,4,0,3,84.06,1
92,35,Female,44860,41,253.03,17,0,0,6,144.13,0
93,64,Female,41195,47,253.27,22,2,1,5,119.97,0
94,41,Female,97475,18,168.28,18,0,1,2,66.74,1
95,43,Male,110874,21,285.94,25,1,1,5,140.85,0
96,42,Female,107266,13,185.64,16,1,0,5,96.93,1
97,62,Male,41427,21,204.24,24,1,0,9,101.96,0
98,58,Female,47083,8,195.77,23,0,1,8,108.92,0
99,46,Male,107046,46,226.19,16,0,1,7,101.47,0
100,32,Male,77372,40,213.57,29,3,1,3,93.81,1
101,62,Female,64064,46,212.9,17,1,1,10,130.7,0
102,18,Female,27813,7,149.02,19,0,0,4,50.05,0
103,42,Male,51598,23,115.57,20,0,1,6,54.18,0
104,24,Male,113106,44,257.11,17,1,1,3,76.46,0
105,26,Female,47082,32,172.73,17,0,0,9,106.0,0
106,41,Male,49241,11,197.55,15,2,1,8,109.79,1
107,18,Female,116214,22,216.34,20,0,1,6,104.23,0
108,61,Female,64569,22,281.45,13,1,0,4,114.38,0
109,25,Female,31745,43,208.07,33,1,0,7,81.05,0
110,41,Female,46029,25,180.26,17,2,0,3,48.52,1
111,28,Male,33025,22,173.82,10,2,1,10,117.47,0
112,68,Female,34288,28,198.13,18,1,0,8,65.77,0
113,34,Male,109186,29,154.53,17,0,0,1,47.03,0
114,25,Female,26540,13,201.44,17,1,0,3,125.61,1
115,52,Male,117768,18,197.4,24,2,1,5,68.45,1
116,52,Female,101958,2,282.08,19,2,1,5,111.98,0
117,50,Male,88878,29,195.82,22,2,1,10,77.39,0
118,22,Male,61846,21,103.78,29,1,0,2,37.91,1
119,59,Female,95932,15,333.68,20,1,1,10,200.43,0
120,56,Female,37482,52,247.84,16,0,1,8,134.49,0
121,58,Female,43411,27,304.12,17,0,1,5,114.81,0
122,45,Female,70975,50,142.13,16,1,1,7,132.07,0
123,24,Male,80545,31,188.91,21,3,1,7,67.88,1
124,26,Female,98797,15,233.72,23,0,1,5,115.34,1
125,25,Male,72307,51,226.82,18,3,0,8,110.24,0
126,29,Male,23093,23,215.35,16,0,1,9,115.46,0
127,51,Female,97258,24,90.02,25,2,1,4,74.4,0
128,50,Male,42042,44,114.38,14,0,1,4,41.37,0
129,65,Male,72930,13,275.88,22,2,1,8,140.12,0
130,40,Male,64413,22,284.77,15,2,1,1,104.89,0
131,41,Male,113623,43,194.67,19,3,0,4,61.93,1
132,54,Female,117883,37,269.52,15,0,0,6,150.61,0
133,52,Female,53756,33,148.84,26,0,1,4,72.32,0
134,61,Female,73268,56,160.28,20,3,1,6,86.31,0
135,57,Female,59214,3,144.89,24,2,0,5,49.11,0
136,39,Male,101871,54,157.5,21,1,0,9,90.03,0
137,44,Male,48602,19,236.13,24,2,1,10,178.73,0
138,52,Female,73331,23,156.88,23,0,1,9,98.16,0
139,18,Female,68901,29,311.99,24,1,1,4,135.17,0
140,52,Female,119986,30,223.0,15,2,1,4,116.66,0
141,54,Male,83416,39,254.23,12,1,1,8,123.24,0
142,64,Female,52196,44,224.5,17,3,1,10,120.01,0
143,31,Female,25626,47,260.71,17,1,1,4,118.51,0
144,20,Female,27424,25,156.6,16,1,1,2,62.95,1
145,18,Male,32857,37,272.35,24,1,1,2,96.27,1
146,22,Male,39982,47,207.05,16,0,1,1,96.71,0
147,43,Male,96961,8,260.46,18,0,1,5,112.65,0
148,31,Male,21980,42,128.02,20,0,0,6,93.67,0
149,56,Male,68290,58,209.03,24,0,0,9,107.07,0
150,44,Male,46431,16,207.26,20,4,0,5,61.83,0
151,26,Male,104976,8,169.04,13,1,0,6,12.85,0
152,32,Male,102711,1,215.66,15,0,0,6,58.69,0
153,32,Female,46385,44,276.98,17,1,0,3,65.62,0
154,43,Female,58158,5,165.19,13,1,0,4,75.54,0
155,59,Male,43019,3,248.09,15,2,1,1,70.75,0
156,30,Male,38639,1,143.63,22,1,1,4,34.71,1
157,68,Female,105530,4,305.47,17,1,0,1,94.87,0
158,49,Male,119911,40,239.23,22,2,1,5,86.23,0
159,56,Male,41563,35,286.26,24,4,1,8,146.34,1
160,66,Male,59341,32,233.6,20,1,1,8,129.85,0
161,69,Female,25776,42,219.53,21,0,1,5,112.79,0
162,49,Female,56444,34,239.65,16,2,0,10,71.53,0
163,21,Female,88916,43,193.18,27,0,0,2,70.21,0
164,47,Female,28711,25,119.11,23,1,1,6,74.45,0
165,54,Female,94318,10,222.37,19,0,0,1,48.23,0
166,40,Male,102970,21,162.22,15,0,1,7,51.67,0
167,56,Female,105553,46,144.92,21,1,0,4,62.35,1
168,62,Male,50707,39,231.81,24,0,0,5,117.03,0
169,32,Male,59110,27,186.04,18,1,0,6,35.08,0
170,60,Female,81788,27,251.39,14,5,0,1,64.47,1
171,46,Female,102879,2,160.55,24,2,1,9,107.0,1
172,53,Male,58827,41,176.46,21,0,1,10,136.49,0
173,30,Male,25655,48,257.51,20,2,0,4,92.01,0
174,49,Male,64859,13,213.99,20,1,0,8,143.82,0
175,24,Female,73625,9,126.13,15,1,0,5,27.68,1
176,68,Female,72098,52,212.89,24,2,0,8,64.73,0
177,39,Female,35251,36,274.06,24,2,1,1,118.77,1
178,45,Female,20526,22,176.07,19,0,0,8,46.78,0
179,19,Female,88760,42,229.9,22,2,1,4,109.3,1
180,59,Male,67837,26,157.53,22,0,1,2,62.47,0
181,62,Female,31536,58,193.16,19,2,0,6,70.88,0
182,23,Male,48541,54,254.49,14,0,1,2,88.51,0
183,45,Male,99083,12,210.96,21,0,1,5,73.56,0
184,45,Male,71027,17,264.46,16,1,1,2,93.77,1
185,61,Female,54531,14,221.27,20,1,1,3,92.73,0
186,61,Female,28712,14,310.94,22,1,1,6,126.06,0
187,37,Female,85455,57,121.75,24,0,1,1,41.03,0
188,47,Male,94744,34,189.14,20,2,0,6,92.82,0
189,28,Male,25109,53,145.77,17,2,1,3,102.77,0
190,45,Male,69268,57,149.19,32,1,1,7,86.03,0
191,42,Male,74615,20,149.64,15,1,1,2,82.04,0
192,56,Male,102503,11,208.39,29,0,1,6,84.64,0
193,50,Male,49759,16,211.32,18,1,1,8,87.61,0
194,18,Female,105708,51,221.37,29,1,0,1,81.93,0
195,44,Female,80112,31,143.85,22,0,0,9,84.58,0
196,69,Female,46589,55,183.79,16,3,1,5,113.53,0
197,30,Female,50015,6,151.79,16,2,1,5,107.85,1
198,58,Male,49009,56,246.79,23,2,1,5,126.97,0
199,20,Male,103309,19,156.49,21,3,1,6,104.34,1
200,56,Female,82046,37,189.31,14,0,1,2,8.99,1
201,23,Male,46143,58,228.02,22,1,1,6,118.4,0
202,25,Female,26154,4,169.22,25,0,0,4,89.27,1
203,44,Female,41804,47,234.69,24,0,1,8,96.17,0
204,26,Female,61688,4,279.8,23,0,1,9,140.27,0
205,54,Male,84288,20,209.49,22,3,1,9,98.09,1
206,50,Female,71195,10,245.08,19,3,1,8,145.02,1
207,68,Female,40581,24,96.33,21,0,1,3,35.83,0
208,59,Female,72648,54,178.55,21,2,0,10,88.76,0
209,61,Male,50087,35,209.25,14,1,0,4,74.19,1
210,41,Male,69930,26,147.35,26,2,1,1,105.49,0
211,32,Female,52981,37,210.38,23,1,0,9,129.36,0
212,49,Male,89298,38,253.0,17,0,0,5,134.0,0
213,49,Male,66167,21,106.02,21,0,0,6,26.59,0
214,41,Male,95304,54,140.55,16,0,1,3,42.58,0
215,58,Male,63408,40,209.24,18,1,0,10,140.44,0
216,69,Male,59499,39,223.02,19,0,1,8,82.65,0
217,66,Male,72269,21,236.9,22,2,1,7,103.74,0
218,66,Male,58559,10,205.54,25,1,1,1,119.02,1
219,69,Male,94319,38,223.08,14,0,1,10,108.35,0
220,29,Male,115317,46,245.17,28,1,0,5,63.53,0
221,56,Male,116347,4,179.28,20,1,1,10,115.73,0
222,19,Female,68787,57,169.57,27,2,1,9,71.63,0
223,20,Female,55488,45,191.57,17,0,1,6,123.07,0
224,66,Male,94441,20,209.97,26,3,1,8,96.39,0
225,54,Female,94663,17,167.09,17,1,1,10,89.07,0
226,66,Female,42431,55,180.31,14,1,0,1,60.38,0
227,34,Male,81681,7,219.89,21,3,0,10,108.93,0
228,66,Male,83483,4,207.89,18,0,1,7,113.31,0
229,19,Male,69153,29,190.73,18,1,0,3,83.55,0
230,19,Female,26368,14,112.95,14,0,0,9,75.24,0
231,45,Female,47424,3,199.82,19,0,1,6,77.67,1
232,40,Male,65004,24,151.5,19,0,0,5,86.01,0
233,54,Male,103869,37,249.15,20,2,0,8,101.88,0
234,49,Male,108652,16,184.56,20,1,1,8,88.99,0
235,50,Female,76985,58,150.19,21,0,1,3,73.96,0
236,18,Female,70069,55,196.92,18,2,0,2,31.4,0
237,36,Female,72326,52,263.53,22,2,1,2,107.98,1
238,19,Female,101061,4,231.54,21,1,1,5,109.43,0
239,61,Male,43398,56,211.0,24,0,1,10,146.94,0
240,43,Male,118393,24,133.7,24,3,0,7,66.3,0
241,49,Male,70861,34,281.08,24,0,0,8,152.02,0
242,23,Male,95897,30,168.92,20,1,1,10,122.27,0
243,49,Female,101905,18,246.69,16,1,0,8,114.27,1
244,21,Female,88577,19,183.73,21,2,1,8,142.5,1
245,28,Male,85641,31,241.88,17,0,1,10,135.32,0
246,34,Male,29078,19,265.34,17,0,1,3,95.08,0
247,55,Female,45003,49,232.41,22,1,1,2,93.3,0
248,41,Male,82768,46,237.79,11,3,1,4,91.11,0
249,22,Female,71047,19,195.08,20,0,0,1,72.0,0
250,69,Male,91626,22,178.3,19,0,0,3,95.85,0
251,51,Male,77660,24,206.91,22,1,1,9,118.01,0
252,23,Male,69786,45,183.0,24,4,0,7,92.9,0
253,39,Male,21925,12,323.36,29,1,1,7,159.41,0
254,28,Male,103976,30,150.38,22,0,1,1,84.96,0
255,65,Male,46015,58,250.1,18,1,1,7,111.88,0
256,33,Male,53320,38,225.86,24,0,1,10,132.4,0
257,50,Female,84881,53,211.49,21,2,1,7,125.54,0
258,26,Female,110827,31,273.99,25,1,0,4,110.05,1
259,23,Female,46289,36,214.92,12,1,1,7,72.83,0
260,33,Female,23389,19,168.25,11,2,0,8,110.68,0
261,46,Female,45683,48,214.59,13,1,1,3,100.48,0
262,20,Male,33629,45,190.84,22,1,0,10,120.23,0
263,37,Male,81550,36,225.16,19,1,1,2,64.65,0
264,53,Female,44826,30,240.65,19,0,0,7,111.19,0
265,36,Male,46630,55,157.05,14,2,0,5,89.68,0
266,43,Female,118762,49,259.77,15,1,1,5,96.07,0
267,20,Female,66163,55,187.26,20,1,1,5,79.77,1
268,36,Male,118511,33,222.18,26,0,0,7,120.16,0
269,37,Male,86435,18,230.85,15,2,0,9,101.66,0
270,49,Male,31653,52,218.37,23,0,1,8,112.49,0
271,24,Female,47961,49,194.54,13,2,1,6,78.32,0
272,69,Male,101941,59,175.57,16,2,0,7,124.87,0
273,58,Female,94137,28,186.55,20,2,1,9,122.38,1
274,50,Female,53662,59,278.26,21,0,0,6,109.42,0
275,57,Female,118818,47,156.71,21,2,1,1,54.22,0
276,56,Male,76446,11,164.04,18,1,0,4,45.54,0
277,35,Male,41288,57,161.84,20,1,1,8,97.35,0
278,57,Female,115081,54,206.79,20,1,0,7,111.34,0
279,18,Male,56877,45,123.76,16,2,1,3,46.73,0
280,28,Male,35313,33,132.32,18,0,0,10,92.71,0
281,45,Male,100885,17,186.95,15,0,0,3,64.49,0
282,42,Female,92715,6,135.61,18,1,0,3,84.19,0
283,67,Female,30326,4,139.69,21,0,1,1,45.22,1
284,40,Male,21560,20,135.99,20,1,1,10,117.34,0
285,48,Female,99148,48,157.67,27,0,1,1,91.53,1
286,47,Male,103186,47,236.56,24,0,1,6,104.63,0
287,59,Male,46745,27,247.79,18,0,1,1,78.47,0
288,52,Male,51890,15,295.95,21,0,1,5,143.29,0
289,24,Male,40022,6,294.12,21,1,0,4,73.66,1
290,33,Female,72579,47,239.32,14,1,1,5,116.11,0
291,43,Female,90316,14,251.38,15,0,0,7,79.66,0
292,65,Female,103847,11,206.56,25,0,1,6,127.67,0
293,69,Male,48380,39,225.99,19,0,1,9,118.71,0
294,66,Male,22356,9,297.18,17,1,1,6,128.19,0
295,19,Male,90326,26,218.56,12,0,1,9,106.68,0
296,18,Female,112447,16,257.66,29,0,1,4,77.09,0
297,65,Male,109899,5,153.28,19,0,1,1,87.25,0
298,29,Female,40049,57,166.69,15,0,0,1,52.34,0
299,22,Female,95717,52,215.6,17,1,0,10,179.71,0
300,54,Female,36082,10,207.5,21,1,1,7,92.1,0
301,49,Female,20661,50,169.0,22,3,1,3,63.87,0
302,26,Female,57412,3,320.37,14,2,0,2,88.87,1
303,58,Female,22920,13,208.63,16,2,0,6,89.87,0
304,52,Male,111194,43,177.86,18,0,0,6,115.76,0
305,36,Male,80315,49,207.58,17,0,0,7,118.33,0
306,65,Female,99561,30,201.27,20,1,1,5,66.29,0
307,33,Female,28946,54,209.39,16,2,1,8,137.7,0
308,20,Male,114242,45,120.31,14,2,1,7,95.45,0
309,37,Female,65500,6,264.6,27,3,1,2,110.36,1
310,41,Female,36309,17,267.44,19,2,1,1,82.5,1
311,50,Male,75230,59,273.52,21,3,0,9,115.91,0
312,41,Female,118656,45,216.27,19,1,0,5,93.57,0
313,69,Female,50027,51,233.12,24,0,1,5,95.07,0
314,28,Female,92541,53,156.69,15,1,0,10,124.01,0
315,66,Male,79321,19,241.64,23,0,1,4,91.72,1
316,25,Male,20956,42,212.59,13,2,0,2,35.49,0
317,53,Male,94131,35,176.98,22,1,0,5,53.16,0
318,55,Female,67908,46,243.24,11,0,0,2,58.76,0
319,57,Female,98339,26,245.17,24,2,1,7,114.48,0
320,37,Male,45963,51,203.03,22,1,0,9,111.33,0
321,52,Female,59443,5,221.92,14,0,1,9,123.35,0
322,65,Female,119259,29,148.41,15,0,0,6,84.49,0
323,42,Female,59063,37,262.16,22,2,1,1,89.7,0
324,52,Female,100818,20,155.06,21,2,1,6,83.23,0
325,42,Female,24703,49,164.73,18,0,1,5,120.36,0
326,46,Male,85128,21,203.12,19,0,1,4,115.99,0
327,35,Female,92099,10,255.73,22,1,0,6,115.99,0
328,63,Male,45849,5,255.7,18,1,0,6,125.94,0
329,35,Female,51860,36,199.76,31,1,1,6,62.95,0
330,19,Male,51585,6,238.65,20,1,0,2,66.14,0
331,52,Female,42015,26,115.55,23,3,0,7,62.17,0
332,33,Male,97539,4,164.03,25,0,1,4,64.24,0
333,58,Female,63585,39,165.05,23,0,1,9,74.75,0
334,53,Male,46958,39,262.61,20,0,1,10,148.19,0
335,50,Female,46017,50,232.73,26,1,1,2,118.83,1
336,21,Male,96707,35,209.23,19,0,1,5,98.46,0
337,50,Female,65350,1,214.09,22,1,1,4,108.29,0
338,31,Male,32201,24,278.42,11,0,1,9,138.23,0
339,38,Male,49426,57,191.49,21,0,0,4,69.66,0
340,65,Female,37778,36,134.3,14,1,0,8,99.37,0
341,37,Female,65241,6,254.36,18,0,1,8,98.64,1
342,25,Male,62229,41,209.09,23,2,1,6,66.61,0
343,24,Female,106652,54,247.68,18,3,1,6,86.36,1
344,20,Male,68364,46,197.76,22,0,1,8,127.5,0
345,34,Male,118833,44,158.07,17,0,1,10,110.02,0
346,50,Male,104878,57,220.14,12,2,0,9,119.17,0
347,65,Female,77056,31,200.51,16,0,0,5,119.49,0
348,29,Male,47490,20,209.25,18,2,1,1,55.41,1
349,68,Male,39975,24,280.83,19,4,1,1,124.28,1
350,39,Female,46723,25,145.06,20,0,0,2,46.59,0
351,39,Female,43279,36,214.3,19,0,0,10,104.27,0
352,63,Female,98301,21,159.05,27,1,0,10,100.69,0
353,47,Female,31561,30,70.47,23,1,1,5,62.05,0
354,55,Male,86061,24,197.55,17,1,1,4,85.9,1
355,55,Male,108397,44,201.55,27,0,1,1,89.02,0
356,62,Male,69153,42,231.18,13,1,0,4,91.71,0
357,68,Male,53142,30,189.12,13,1,1,4,83.4,1
358,25,Female,46916,22,125.55,21,1,1,10,90.39,0
359,44,Male,84324,28,158.88,18,1,1,4,83.33,0
360,44,Male,64965,7,265.85,16,2,0,1,58.42,0
361,51,Female,24648,35,158.17,17,0,1,9,81.81,0
362,38,Male,55133,55,279.16,14,1,1,3,102.1,0
363,47,Male,70677,28,252.5,17,1,0,4,107.5,0
364,50,Male,116059,14,184.11,24,2,0,5,124.29,1
365,45,Male,114588,56,163.55,17,2,1,7,91.73,0
366,64,Male,119950,10,252.4,18,3,1,6,81.14,0
367,50,Male,118317,16,187.95,15,1,0,5,66.33,0
368,22,Female,90135,16,122.72,18,2,0,8,90.89,0
369,65,Female,55046,54,228.12,21,0,0,1,55.08,0
370,36,Male,67064,31,220.86,15,1,1,7,85.89,0
371,21,Male,89350,42,256.89,24,0,1,6,131.34,0
372,52,Female,65893,25,217.48,21,0,1,5,110.59,0
373,66,Male,81272,13,172.54,18,0,1,7,68.21,1
374,34,Male,112152,6,263.48,18,1,0,3,77.04,0
375,61,Male,87649,44,268.35,17,0,1,1,121.25,0
376,45,Female,84674,9,211.66,17,0,1,9,136.4,0
377,47,Male,33760,45,203.02,21,0,0,2,48.01,0
378,46,Female,41927,36,133.84,22,1,1,10,61.47,0
379,63,Male,106475,56,169.62,26,1,1,3,82.56,0
380,23,Female,81367,43,238.04,16,0,1,8,116.29,0
381,52,Female,117955,20,172.14,22,0,0,10,106.38,0
382,58,Male,32588,18,127.16,11,0,1,9,106.39,0
383,54,Female,72233,58,374.79,19,2,1,3,119.26,0
384,41,Male,64738,43,126.83,27,1,0,6,60.76,0
385,46,Female,53397,57,312.84,20,2,0,7,111.87,0
386,66,Male,102189,21,184.63,28,1,0,1,44.52,0
387,63,Male,96367,4,195.77,24,2,1,7,116.23,1
388,48,Female,91260,50,166.39,18,0,1,4,83.7,0
389,52,Male,96619,33,239.14,26,0,0,5,66.78,0
390,50,Male,39816,27,128.01,15,2,0,8,93.66,0
391,69,Female,62240,7,107.98,10,2,0,4,45.89,0
392,38,Male,26276,6,280.51,32,2,1,4,131.18,1
393,49,Male,99530,15,159.8,22,0,1,8,78.75,0
394,40,Female,43499,18,237.3,18,1,1,5,88.58,0
395,50,Female,108576,32,145.73,16,1,1,6,89.55,0
396,20,Male,102495,56,235.42,22,0,1,5,84.8,0
397,35,Male,91635,11,284.18,18,2,0,1,85.66,1
398,42,Female,105112,20,173.64,14,2,0,7,63.59,0
399,59,Female,55946,24,103.33,22,0,1,6,64.27,0
400,48,Male,75204,15,284.44,17,2,0,2,95.54,0
401,20,Female,71886,48,246.31,12,3,0,7,109.8,0
402,57,Male,91652,7,176.32,20,1,1,6,86.6,1
403,63,Male,35563,21,189.1,24,3,1,5,99.6,0
404,41,Male,112324,42,144.47,27,0,0,8,87.65,0
405,67,Male,112464,26,271.01,25,0,0,5,105.77,0
406,49,Male,29847,44,173.26,16,1,0,2,50.26,0
407,64,Female,46155,56,129.06,17,1,1,6,100.93,0
408,39,Female,99671,14,210.68,15,1,0,1,76.68,0
409,40,Female,103310,57,157.0,19,1,0,5,52.33,0
410,19,Female,87278,37,148.5,22,0,1,6,98.63,0
411,44,Male,38309,58,178.5,29,0,0,7,107.51,0
412,59,Male,20619,21,204.32,17,0,0,2,70.51,0
413,19,Male,103194,18,130.94,21,1,0,1,45.03,0
414,43,Male,70108,5,269.26,22,3,0,6,70.7,0
415,34,Female,54707,3,233.86,22,1,0,3,69.39,0
416,57,Male,40337,23,181.73,16,2,0,5,97.19,0
417,50,Male,101537,26,154.83,22,1,1,2,51.9,0
418,26,Female,86504,37,195.54,19,1,0,1,61.42,0
419,60,Female,67614,24,244.97,17,0,1,1,72.17,1
420,65,Female,111428,49,237.23,28,3,1,4,107.19,1
421,56,Female,111155,19,252.93,19,3,1,10,144.7,0
422,46,Male,20281,51,175.98,14,0,0,2,71.9,0
423,59,Male,47420,25,53.75,14,0,0,1,-0.96,0
424,43,Female,100896,21,262.39,17,2,1,6,121.7,0
425,52,Male,59030,12,191.64,12,0,1,4,119.62,1
426,67,Male,21058,57,233.31,26,0,1,10,146.26,0
427,42,Male,106213,41,283.46,23,1,0,7,123.05,0
428,41,Female,96260,33,321.72,26,0,1,6,99.2,0
429,30,Male,48404,50,167.51,16,1,0,5,71.07,0
430,24,Female,49856,53,206.7,16,1,0,10,145.74,0
431,53,Male,29200,4,268.34,15,0,1,2,127.62,0
432,62,Male,84178,42,157.79,19,2,0,5,82.52,0
433,37,Male,53997,57,170.89,14,1,1,9,92.58,0
434,18,Female,45611,7,170.6,11,2,1,9,107.78,1
435,25,Male,61235,22,198.6,20,1,1,2,96.05,0
436,63,Female,55057,55,188.99,26,1,1,7,121.81,0
437,33,Female,21239,33,170.31,20,1,1,10,118.35,0
438,31,Female,85661,17,151.71,25,1,1,4,93.86,1
439,29,Male,65272,24,240.6,14,1,0,3,86.71,1
440,68,Male,109393,34,266.89,22,1,1,1,94.11,0
441,40,Male,81212,28,274.14,17,1,0,3,88.91,0
442,32,Male,35398,58,175.95,17,1,0,9,107.13,0
443,45,Female,76503,43,242.69,18,1,0,9,138.71,0
444,51,Female,26638,41,211.82,20,0,1,7,123.71,0
445,19,Female,26570,39,171.47,13,0,1,3,52.73,0
446,49,Male,88785,22,236.71,20,2,1,3,73.72,1
447,40,Female,29110,49,169.17,23,0,0,4,93.97,0
448,39,Male,99141,17,181.19,23,1,1,7,104.04,0
449,68,Female,32115,34,131.16,16,1,1,7,89.46,0
450,42,Male,59062,6,176.79,23,1,1,2,78.05,1
451,39,Male,42911,46,212.69,16,2,1,5,134.64,0
452,39,Female,52556,6,278.45,28,0,0,7,111.01,0
453,66,Female,98131,34,182.33,16,2,1,7,122.83,0
454,69,Female,21969,1,148.09,17,0,1,6,89.95,0
455,59,Female,63753,10,274.87,12,1,1,10,111.05,0
456,23,Male,102811,21,174.77,23,1,1,10,97.08,0
457,32,Female,24470,5,112.58,24,3,1,8,72.83,1
458,60,Female,30225,2,206.65,17,1,1,3,109.71,1
459,54,Female,43196,22,183.76,17,1,0,1,85.52,1
460,50,Male,33669,48,315.02,26,0,0,3,117.88,0
461,25,Male,57380,57,223.77,26,1,1,2,77.98,0
